Question,Category,Difficulty
What is the difference between compilation and interpretation?,General Programming,Medium
Explain the concept of polymorphism.,General Programming,Medium
Define encapsulation and give an example.,General Programming,Hard
What is an abstract class, and how is it different from an interface?,General Programming,Medium
Describe the principles of Object-Oriented Programming (OOP).,General Programming,Medium
What is the purpose of a constructor?,General Programming,Medium
Explain the difference between stack and heap memory.,General Programming,Medium
What is a design pattern, and can you name a few?,General Programming,Medium
Define the term "DRY" in software development.,General Programming,Medium
What is the SOLID principle?,General Programming,Hard

