Question,Category,Difficulty
How do you reverse a linked list?,Data Structures,Medium
Implement a function to check if a string is a palindrome.,Algorithms,Easy
Write a function to find the maximum element in an array.,Algorithms,Easy
How do you implement a binary search tree?,Data Structures,Hard
Write a function to calculate the factorial of a number using recursion.,Algorithms,Medium
How do you find the longest common subsequence between two strings?,Algorithms,Hard
Implement a queue using two stacks.,Data Structures,Medium
Write a function to merge two sorted arrays.,Algorithms,Medium
How do you detect a cycle in a linked list?,Data Structures,Hard
Implement a hash table from scratch.,Data Structures,Hard

